name,all2015 ,healthcare2015,manufacturing2015,construction2015
Andover,189,36,67,85
Avon,2536,1866,391,278
Berlin,4902,1159,2822,921
Bloomfield,7138,2212,3688,1238
Bolton,488,60,269,159
Bristol,9524,5099,3311,1114
Burlington,337,87,92,158
Canton,1018,479,175,363
East Granby,1626,141,1204,281
East Hartford,10746,3734,5709,1303
East Windsor,1856,446,1096,314
Ellington,1220,246,515,458
Enfield,3445,2195,855,395
Farmington,9676,5835,2711,1130
Glastonbury,4938,2819,1004,1115
Granby,817,536,88,193
Hartford,22501,19214,1384,1903
Hebron,389,267,59,63
Manchester,10685,5862,3640,1183
Marlborough,554,361,85,109
New Britain,11022,7540,2590,892
Newington,5782,2280,2407,1095
Plainville,5412,1293,1816,2303
Plymouth,934,178,385,371
Rocky Hill,2702,1831,190,681
Simsbury,1706,895,593,218
Somers,671,176,181,314
South Windsor,5421,1196,3128,1097
Southington,5910,2496,2076,1338
Stafford,2127,742,1054,331
Suffield,1174,505,512,157
Tolland,1234,664,349,222
Vernon,2963,2048,253,662
West Hartford,9416,5055,3547,814
Wethersfield,2592,2066,306,220
Windsor,5491,1846,2941,704
Windsor Locks,4437,491,3594,352
